CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
69,112,両クラスタとも、三角州・自然堤防・後背湿地・扇状地など河川・海岸の堆積作用に由来する低平地形を主な立地基盤とし、住宅・商業・教育・交通インフラが重層する日常的生活空間を形成している点で本質的に共通する。,クラスタAは砂州・干拓地・ローム台地・丘陵まで含む地形的多様性と広域的な都市規模の幅を持つ生活空間全般を捉えるのに対し、クラスタBは理容室・食料品店・コインランドリー・小規模集合住宅が徒歩圏に凝集した昭和的近隣居住圏という機能的同質性に収束しており、土地利用の「集積パターンの均質性」が両者を分ける本質的差異である。
72,73,両クラスタはともに、山間・丘陵地帯の河川沿い低地や谷底に立地しながら、鉄道駅・国道・道の駅等の交通インフラを備え、地理的孤立性と広域アクセス性を併せ持つ「山間交通結節拠点」としての本質的構造を共有している。,クラスタAは谷底低地・台地・火山地など多様な地形分類と広範な標高帯（14.7〜683m）にわたる地形的多様性が際立つのに対し、クラスタBは河川侵食谷・山間盆地の谷筋という地形的文脈が統一されており、集落核の形成と行政・生活機能の集積を伴う「定住型集落拠点」としての性格が明確に強い。
74,11,両クラスタとも、砂州・埋立地・火山山麓地など地形的境界帯に形成された低〜中位標高の不安定堆積面・人工改変地に立地し、道の駅・港湾・観光施設等の公共インフラが集積する「水陸境界域の複合的拠点」という本質を共有している。,クラスタAは海岸線・島嶼環境への近接性を軸に生活インフラと観光機能が重層的に共存する「海縁の公共・観光複合集積」が本質であるのに対し、クラスタBは海岸に限らず干拓地・三角州・後背湿地・河川沿い低地など内陸水系を含む多様な「地形的遷移帯」全般への立地が本質であり、地形的境界条件の広域性・多様性においてAを大きく上回る。
76,103,両クラスタとも、火山性地質を背景とした地熱環境下において、河川・渓流・渓谷といった流水地形に近接した山間低〜中標高帯への立地という物理的共通性を持ち、谷底地形や水系データ（waterway/water）がクラスタ全体に一貫して記録されている。,クラスタAは九州火山帯に地域限定された火山性丘陵主体の均質な地質基盤と渓谷沿い小規模集落立地が特徴であるのに対し、クラスタBは火山地・山地・谷底低地・砂礫質台地など6種の地形分類にわたり、鉄道拠点・道の駅・世界遺産参詣道・住宅開発地など機能的多様性が著しく高い広域分散型の立地群である。
78,79,両クラスタとも、公衆浴場・温浴施設を核としつつ、道の駅・コミュニティセンター・地域複合施設が周辺に集積しており、地域住民や来訪者の交流・滞在を支える生活・観光インフラの結節点としての機能を共有している。また、谷底低地・扇状地・後背湿地など多様な地形分類にまたがって立地し、特定の地形条件に依存しない分布特性も両者に共通する。,クラスタAは地形・地質・標高を問わず住民の日常的入浴需要に応える生活インフラとしての公衆浴場が普遍的に分布するのに対し、クラスタBは神社・街道・歴史的権威を核とした宗教・歴史的求心力が観光・商業・交通インフラの重層的集積を構造的に規定しており、施設立地の駆動因が「生活的普遍性」か「歴史的固有性」かという点で本質的に異なる。
80,95,両クラスタとも、後背湿地・三角州・海岸低地などの河川氾濫原・沖積低地に起源を持つ低平な堆積性地形を主要な立地基盤とし、旧農業的土地利用から転換された平坦面に公共・生活インフラ施設が集積するという構造的共通性を持つ。,クラスタAは公衆浴場・老人福祉センター等の公共福祉施設が低地帯に特化集積する「福祉インフラ集中型」であるのに対し、クラスタBは住宅系道路・駐車場を伴い病院・学校・商業施設が混在する「生活圏複合型」であり、施設機能の専門性と都市的サービス密度が本質的に異なる。
81,93,両クラスタとも標高100〜900m帯の火山性・山地系地形（火山山麓地・火山性丘陵・山地等）を基盤とし、平地とは異なる起伏ある地形条件の上に観光・レジャー・文化施設が立地する「非平地型観光結節点」という本質的性格を共有している。,クラスタAは巡礼路・近代土木・公園・芸術施設など異質な文化・工学レイヤーが地形の起伏に沿って水平的に積層する「多機能複合型文化結節地形」であるのに対し、クラスタBは傾斜地から盆地・平野を見下ろす視野の開放性という単一の地形的優位性を核とした「眺望特化型傾斜地」であり、場の価値を生む地形的論理が根本的に異なる。
82,88,両クラスタとも、丘陵・谷底低地・後背湿地・火山地など多様な地形分類にまたがり、特定の地形条件に依存しない立地を示す。標高・地質・土地利用いずれの軸でも広い分散を持ちながら、農山漁村から地方都市郊外まで「地域コミュニティの生活圏内に組み込まれた拠点施設」として機能する点が共通する本質的特徴である。,クラスタAは行政・社会福祉施設（福祉センター・老人憩いの家・介護支援センター等）との複合立地が全国規模で展開する「公共福祉インフラ型拠点」であるのに対し、クラスタBは九州・山口の農山漁村に限定され、小学校・キャンプ場・廃線跡・農地・漁港施設が混在する「農村辺縁型コミュニティ拠点」であり、都市行政機能との結節度と地理的集中性において本質的に異なる。
83,104,両クラスタはともに西日本を中心とした中山間・丘陵・火山麓の非都市的地形に立地し、標高・地形分類の多様性を内包しながらも、大規模都市圏から切り離された地方分散型の地点群という物理的本質を共有している。,クラスタAは公民館・消防署・鉄道駅・道の駅など複合的な公共インフラが集積した地域コミュニティの行政的結節点であるのに対し、クラスタBは幅員1.5〜5.5m程度の生活道路・未分類道路が支配的な「道路的辺縁地」であり、交通アクセスの物理的脆弱性こそが本質的差異である。
84,85,両クラスタとも九州を中心とした低〜中標高帯に広がり、谷底低地・山地・火山性丘陵など多様な地形分類を横断しながら、郵便局・老人福祉施設・小中学校といった小規模公共インフラが点在する「地方生活圏の末端的公共サービス拠点」という構造を共有している。,クラスタAが現役の公共施設・道の駅・学校群が複数重複する「生活基盤の現在進行形の結節点」であるのに対し、クラスタBは鉱山閉山・廃線・廃校など産業・交通・教育インフラの縮退・休廃止が重なる「かつての資源・輸送拠点の歴史的痕跡地帯」であり、公共インフラの充実度と地域活力の方向性が対照的である。
91,118,両クラスタとも首都圏・近畿圏の既成市街地に位置し、小学校・郵便局・コンビニ・公園・交番等の徒歩圏生活インフラが高密度に集積した「日常生活圏の自己完結性」を核心的特質として共有する。地形分類は谷底低地から台地まで多様だが、いずれも平坦・低標高の既成居住地として継続的に利用されてきた点も共通する。,クラスタAは大型商業施設・地下鉄・高速バス等の広域都市機能を含む「都市核型〜下町型」の多層的インフラ構成を持つのに対し、クラスタBは銭湯・青果・精肉・クリーニング等の小規模近隣サービスに特化した「徒歩圏日常消費完結型」の構成に限定され、観光・業務・広域商業の要素をほぼ持たない点が本質的差異である。
94,80,両クラスタとも、行政・地域が整備した公民館・福祉センター・コミュニティ施設を核とする「地域住民向け公共福祉インフラの結節点」であり、地形的多様性を内包しながらも生活圏における集会・交流・福祉機能の集積という機能的同質性を共有している。,クラスタAが九州・西日本の農村・小都市圏における地形横断的な地域コミュニティ拠点であるのに対し、クラスタBは河川氾濫原・三角州・干拓地・旧河道など低平な堆積性低地・軟弱地盤帯への公共福祉施設集積という地形的立地条件の構造的共通性が本質的差異であり、農業的土地利用から公共用地への転用という歴史的経緯がBの立地を規定している。
98,101,両クラスタとも、谷底低地・後背湿地・扇状地・三角州など河川性堆積地形を主体とする低平地〜緩傾斜地に立地し、農地・住宅地・公共施設が混在する地方分散型の生活圏拠点という地形的・土地利用的共通基盤を持つ。,クラスタAは地形・標高・地域を問わず「老人福祉センター・行政施設・公衆浴場」の複合機能によって全国的に結束する施設機能主導型クラスタであるのに対し、クラスタBは九州内陸水系低地という地理的・地形的集中性を核とする地域空間主導型クラスタであり、クラスタ形成の主軸が「施設機能の均質性」か「地域地形の均質性」かで根本的に異なる。
99,102,両クラスタはともに、広域幹線交通から孤立した山間・山麓の中低標高地（概ね100〜500m台）に立地し、固有の地形・自然環境を基盤としながら、地域コミュニティや来訪者を受け止める拠点機能を担う点で共通する。,クラスタAは歴史・産業・信仰・技術に根ざした固有文脈の文化的資産を核とする観光拠点性が本質であるのに対し、クラスタBは自然河川・渓谷沿いの孤立立地と過疎・福祉施設の集積に象徴される生活インフラの辺縁性・縮退性が本質であり、「文化的求心力」対「生活的周縁性」という対照的な地域機能を示す。
100,88,両クラスタとも、農山村・中山間地域の小規模集落に立地し、都市的サービスが届きにくい過疎・高齢化地域において、コミュニティセンター・小学校・農地・自然林などを核とした地域住民の生活・交流基盤を自律的に維持する「地域密着型の生活拠点」としての性質を共有する。,クラスタAは九州から関東まで全国に分散し、老人憩の家・福祉センター・郵便局など高齢者福祉・生活支援施設の集積を核とする「福祉インフラ型拠点」であるのに対し、クラスタBは九州・山口に地域限定され、キャンプ場・海岸線・廃線跡・漁港施設など農業・漁業・観光が複合する「辺縁的多機能型拠点」であり、拠点の機能的性格と地理的分布範囲が本質的に異なる。
105,104,両クラスタとも火山性丘陵・山地・谷底低地など多様な非都市的地形に立地し、標高・地形分類ともに広い分布幅を持つ。いずれも自然地形を基盤とした観光・生活関連施設が点在する山間・丘陵性の非平坦地という共通の土地的性格を有する。,クラスタAは国道・主要地方道や広域観光インフラが整備された「交通アクセス可能な自然資源活用拠点」であるのに対し、クラスタBは幅員1.5〜5.5m程度の生活道路・未分類道路が主体で幹線交通網から切り離された「道路的辺縁地」であり、交通インフラの充足度が両者を分ける最も本質的な差異である。
107,121,両クラスタとも、河川・海岸に近接した低平な堆積地形上に立地し、かつての交通・産業インフラ（貨物鉄道・廃線・工場）の痕跡を地表に残しながら、現在は銭湯・診療所・商店・公共施設などの地域密着型生活インフラが集積する「インフラ転換後の低地生活拠点」という本質的性格を共有する。,クラスタAは近世以来の地場産業（酒造・製塩・製鉄）に根ざした産業転換型の下町的居住地であり、沖積低地・三角州・扇状地など堆積地形に限定されるのに対し、クラスタBは廃線跡転用を核とした近代的市街地化が主軸で、火山山麓地・ローム台地・砂礫質台地など多様な地形分類を包含し、観光商業・漁業集落・郊外施設まで用途が広域に分散する点で本質的に異なる。
109,108,両クラスタとも近畿・東海圏を中心に、三角州・自然堤防・後背湿地・砂礫質台地など多様な低平地地形にまたがりながら、戦後形成された低層密集住宅地に公衆浴場（銭湯）が現役で存在し、徒歩圏の生活インフラが集積する「庶民的近隣生活圏」という社会的・空間的構造を共有している。,クラスタAは大阪・名古屋・京都などの既成市街地中枢部に位置し、商店街・工業混在・複合娯楽施設など多様な都市機能と隣接する「市街地埋め込み型」の街区であるのに対し、クラスタBは大型商業施設や鉄道ターミナルを欠く都市近郊の小規模住宅街区であり、銭湯が地域コミュニティの物理的・社会的中心として自立的に機能する「近隣生活圏完結型」の街区構造を示す。
110,120,両クラスタとも標高0〜4m程度の三角州・後背湿地・自然堤防などの沖積低地系地形上に立地し、洪水・液状化リスクを内包しながら、鉄道・私鉄沿線を軸に住宅・商業・教育・宗教施設が高密度に集積した庶民的生活市街地を形成している点が共通する本質的特徴である。,クラスタAは交通結節点を核に行政・商業・教育施設が複合的に集積した「機能混在型の沿線生活圏」であるのに対し、クラスタBは江戸・明治以来の街割りを継承した2〜4階建て木造住宅の超高密度集積を本質とする「低地定着型の旧来下町市街地」であり、都市形成の歴史的連続性と建物用途の均質性に決定的な差異がある。
111,123,両クラスタはともに鉄道駅を核とした徒歩圏内に、コンビニ・飲食・医療・金融など多業種の日常生活施設が高密度に集積しており、居住者・通勤者・来訪者の多様な生活需要を一括充足する「都市型生活機能の複合的拠点」という本質的性格を共有している。,クラスタAは標高8〜32mのローム台地・扇状地・砂礫質台地など地形的に安定した多様な地盤上に立地するのに対し、クラスタBは標高-1.6〜5mの干拓地・後背湿地・埋立地・三角州など沖積低地系の軟弱地盤に限定されており、地形的脆弱性を内包した低地密集型生活圏という点が本質的差異である。
112,113,両クラスタとも標高0〜40m程度の低〜中位平坦面に立地し、河川堆積・侵食作用が形成した地形上に旧来型の近隣生活圏（住宅・商業・公共施設の混在）が展開するという、地形的安定面と日常生活インフラの共存という本質的構造を共有している。,クラスタAは地形・地域・標高の極めて広い多様性を包含しながらも「銭湯を核とした徒歩完結型の昭和的住宅密集地」という機能的同質性で統合されるのに対し、クラスタBは近畿圏の大河川流域に限定された「河川堆積・侵食プロセスが直接形成した地表面」という地形的同質性を本質的結合軸とし、土地利用・施設規模の多様性はその上位に乗る変動として位置づけられる。
113,118,両クラスタとも、大規模開発や広域商業・業務集積とは無縁の「既成市街地における日常的な生活圏」を形成しており、河川作用に由来する低〜中位の平坦地形を基盤として、住民の生活に密着した土地利用が継続的に営まれている点で共通する。,クラスタAは河川堆積・侵食地形を基盤に商業核・再開発・観光など多様な都市機能が混在する「機能複合型の生活圏」であるのに対し、クラスタBは地形・地質の多様性にかかわらず徒歩圏の日常消費インフラに特化した「近隣密着型の純生活圏」であり、都市機能の集積規模と広域性の有無が本質的な差異をなす。
114,115,両クラスタとも、大都市圏の多様な地形（自然堤防・後背湿地・台地・三角州等）上に形成された住宅・商業混在の近隣生活圏であり、小規模商店・診療所等の生活密着型施設が集積する旧来型市街地としての物理的・社会的構造を共有している。,クラスタAは標高・地形・建物階数・都市成熟度の分散が大きく、大学・大型商業施設も混在する多層的な都市環境であるのに対し、クラスタBは低層密集住宅地に限定され、周辺施設が小規模生活密着型に特化した均質な旧来型近隣生活圏として収束している。
116,125,両クラスタとも、近世〜近代の土地改変を経て戦後に住宅・商業機能が漸進的に集積した既成市街地であり、生活密着型の小規模施設（銭湯・商店・コインランドリー等）が街区に根付く「庶民的な生活インフラ型市街地」という本質を共有している。,クラスタAは全国各地の多様な地形・地域に分散しながらも銭湯という特定施設の現役存続を共通軸とする「施設類型横断型」クラスタであるのに対し、クラスタBは東京低地〜武蔵野台地縁辺部という特定の地理的圏域に限定され、戦後の急速な住宅密集化という「地域固有の都市形成プロセス」を本質とする点で根本的に異なる。
117,120,両クラスタはともに標高0〜2m前後の三角州・海岸低地・干拓地などの沖積低湿地形上に立地し、液状化・洪水リスクを内包しながらも江戸・明治期以来の街割りを継承した密集住宅市街地が定着している点で共通する。低平地の地形的制約が自転車移動や低層建築の卓越といった都市形態にも反映されており、「低地定着型下町市街地」という本質的性格を共有している。,クラスタAは千代田・港区の高度商業地やローム台地ノード（標高約30m）を含む土地利用・地形の多様性が際立ち、商業・外交・宗教・歴史施設が重層する複合的市街地である。一方クラスタBは標高0〜2mの超低平地に限定され、2〜4階建て木造・RC造住宅が均質高密度に集積する純住居系市街地としての一貫性が強く、都市機能の多様性よりも庶民的居住集積の純度において対照的である。
119,111,両クラスタとも、特定の地形分類に依存せず自然堤防・後背湿地・ローム台地など多様な地形上に立地しながら、徒歩圏内で複数の生活関連業種が高密度に集積する「近接完結型の都市生活インフラ集積地」という土地利用パターンを共有している。,クラスタAは鉄道駅との結節性を持たない住宅密集地の内部に銭湯を核として形成された旧来的な徒歩生活圏であるのに対し、クラスタBは鉄道駅を不可欠な核として通勤・来訪者を含む広域需要を取り込む多層的な駅勢圏型商業集積地であり、集客圏の空間構造と交通結節性の有無が本質的な差異である。
122,107,両クラスタはともに低標高の沖積性堆積地形（三角州・後背湿地・谷底低地等）上に立地し、近世〜近代の交通・産業インフラを起点として形成された「歴史的文脈を持つ都市的生活空間」という本質を共有する。銭湯・診療所・商店・公共施設など地域密着型インフラが現在も機能している点も共通する。,クラスタAは鉄道駅を核とした多業種・高密度の商業・観光・夜間経済が現在進行形で集積する「交通結節型の都市的賑わい拠点」であるのに対し、クラスタBは旧貨物鉄道・地場産業（酒造・製塩・製鉄等）の痕跡を残しつつ産業転換後の小規模住宅・商店が混在する「産業遺構を内包した下町的居住地」であり、経済活動の現在的活性度と土地利用の主体が根本的に異なる。
123,124,両クラスタとも、三角州・干拓地・埋立地・後背湿地など沖積低地系の軟弱地盤上（標高概ね0〜5m前後）に形成された人工改変地を主体とし、そこに都市型の生活・商業機能が高密度に集積している点が共通する本質的特徴である。,クラスタAは路地裏の個人商店・銭湯・医療機関など日常生活密着型の庶民的施設が卓越する「生活圏ノード」であるのに対し、クラスタBは大規模ターミナル駅を核とした複合商業施設・再開発ビル群が集積する「広域交通結節型商業拠点」であり、施設スケールと都市機能の階層性に本質的な差異がある。
126,127,両クラスタとも、後背湿地・三角州・干拓地・砂礫質台地など多様な微地形上に形成された低平地の密集市街地であり、住宅・商業・公共施設が混在する複合的土地利用と、全国各地に分散する地理的多様性を共有している。,クラスタAは地形的条件（海抜ゼロメートル以下の低湿地・干拓地）が市街地形成の主因であるのに対し、クラスタBは戦後復興・高度成長期の急速な人口集積という社会的・歴史的圧力が市街地形成を主導しており、都市化の駆動力の本質が異なる。
128,129,両クラスタは、扇状地・砂礫質台地・三角州・後背湿地・自然堤防・谷底低地など多様な堆積地形上に分布し、急峻な山岳地形を持たない低〜中標高の平坦〜緩傾斜地に立地する点で共通する。また、コンビニ・診療所・公共施設など住民の日常生活を支えるインフラが周辺に集積した「生活密着型の居住地」としての性格を両者が共有している。,クラスタAは鉄道駅との結節性よりも地域住民の徒歩生活圏・門前町・旧城下町など多様な都市形成背景を持つ「地域固有の生活核」であるのに対し、クラスタBは鉄道駅の駅勢圏を軸に府営住宅・小中学校・コインランドリーが整然と集積した「近郊居住地としての均質な生活圏」を形成しており、生活圏の形成原理が地域固有性か鉄道結節性かで本質的に分岐する。
130,132,両クラスタとも、東京低地の沖積低地（三角州・後背湿地・自然堤防等）を主体とする軟弱地盤上に形成された庶民的住宅密集地であり、水害・地盤沈下リスクを内包しながら戦後的な都市化が進んだ旧来型の低地市街地という本質を共有する。,クラスタAは標高0m前後からローム台地（最大37.4m）まで約39mの地形的振れ幅を持ち、荒川放水路開削・帝都復興など近代治水史と深く結びついた東京東部〜神奈川の広域分散型市街地であるのに対し、クラスタBは標高がほぼ-2.1m〜4.4mに収束する極めて均質な海抜ゼロメートル地帯を核とし、盛土・シールド工法など現代的地盤対策が随所に施された江東・大田・荒川区中心の臨海低地市街地である。
131,133,両クラスタとも、ローム台地・後背湿地・三角州・自然堤防など多様な地形分類にまたがりながら、東京圏・神奈川圏を中心とした都市近郊の低層密集市街地に生活インフラ（保育園・神社仏閣・商業施設等）が集積するという共通の都市的地盤を持つ。,クラスタAは鉄道結節点と工業・商業用途が卓越し、海抜ゼロメートル以下の干拓地・三角州上に広域交通インフラが集中する「交通・産業ハブ型」であるのに対し、クラスタBは銭湯を核とした純住宅・低層居住地が主体の「生活密着型住宅地」であり、土地利用の主軸と都市機能の性格が根本的に異なる。
